Leaf,N. photos,Notes,Width,Length,Perimeter,Weight,Area,,Dataset size:
314,11,flat surface; no eating holes; under cloudy sky,5.6,8.1,27.0,0.226,30.13333333,,
315,12,wavy surface; no eating holes; under shade,6.3,9.0,29.5,0.292,38.93333333,,
316,13,wavy surface; no eating holes; under sunlight,5.9,8.2,28.5,0.246,32.8,,
317,14,flat surface; no eating holes; with soild dust; under sunlight,4.7,6.6,21.0,0.149,19.86666667,,
318,11,flat surface; no eating holes; with soild dust; under sunlight;,4.6,6.8,22.5,0.161,21.46666667,,
319,12,wavy surface; no eating holes; under sunlight,4.9,6.8,23.0,0.168,22.4,,
320,10,flat surface; eating holes in the edge; under shade,4.5,6.0,21.0,0.134,17.86666667,,
321,12,flat surface; no eating holes; under sunlight,5.3,7.4,24.0,0.186,24.8,,
322,14,flat surface; no eating holes; under shade,4.8,6.4,22.0,0.157,20.93333333,,
323,13,wavy surface; no eating holes; under sunlight,5.0,6.8,22.5,0.175,23.33333333,,
324,12,wavy surface; no eating holes; under sunlight,5.2,6.7,23.0,0.173,23.06666667,,
325,13,flat surface; no eating holes; under sunlight,4.9,6.5,21.5,0.151,20.13333333,,
326,13,wavy surface; eating holes in the edge; under shade,5.8,7.4,24.0,0.208,27.73333333,,
327,14,flat surface; no eating holes; under sunlight,4.9,5.8,19.5,0.140,18.66666667,,
328,12,flat surface; no eating holes; under sunlight,5.5,8.0,26.0,0.222,29.6,,
329,12,wavy surface; no eating holes; under sunlight,4.3,6.1,20.5,0.137,18.26666667,,
330,13,flat surface; no eating holes; under shade,5.2,7.4,25.0,0.187,24.93333333,,
331,13,wavy surface; no eating holes; under sunlight,4.6,6.2,21.5,0.146,19.46666667,,
332,11,wavy surface; no eating holes; under sunlight,4.7,6.0,21.0,0.143,19.06666667,,
333,12,flat surface; no eating holes; under sunlight,5.7,7.9,26.5,0.227,30.26666667,,
334,14,flat surface; no eating holes; under sunlight,5.2,7.6,24.0,0.185,24.66666667,,
335,12,wavy surface; no eating holes; under sunlight,6.3,8.0,27.0,0.249,33.2,,
336,14,wavy surface; no eating holes; under shade,5.5,7.6,25.5,0.213,28.4,,
337,13,wavy surface; no eating holes; under sunlight,5.3,7.6,25.0,0.193,25.73333333,,
338,12,flat surface; no eating holes; under sunlight,5.0,6.9,23.5,0.169,22.53333333,,
339,13,wavy surface; no eating holes; under sunlight,4.8,6.8,22.5,0.161,21.46666667,,
340,13,wavy surface; no eating holes; under shade,5.3,7.4,24.5,0.193,25.73333333,,
341,15,flat surface; no eating holes; under sunlight,4.2,5.9,20.5,0.130,17.33333333,,4289
342,13,wavy surface; no eating holes; under shade,4.5,6.2,20.5,0.131,17.46666667,,
343,12,flat surface; no eating holes; under sunlight,4.7,6.7,22.5,0.144,19.2,,
344,10,flat surface; eating holes in the edge; under shade,4.7,6.6,21.0,0.149,19.86666667,,
345,12,flat surface; no eating holes; under sunlight,5.0,7.1,24.0,0.184,24.53333333,,
346,14,flat surface; eating holes in the edge; under sunlight,4.8,6.8,22.0,0.158,21.06666667,,
347,15,flat surface; no eating holes; under sunlight,4.7,6.3,20.0,0.147,19.6,,
348,10,wavy surface; no eating holes; under sunlight,4.9,6.4,20.5,0.150,20,,
